"","Year","Females","Hatchlings","SEA.LEVEL","AMO.26","v1","v2","Hatchlings_pred","DensoDep","A","B","Q025","Q975"
"1",1984,5.75,1267,NA,0.009893425804,NA,0.017305578979923,1500.74023539595,259.123180359125,264.298960199952,0.99281557988739,118.842312002773,7811.07026286625
"2",1985,25.5,5697,NA,-0.0002498059224,NA,-0.000809041058099927,6719.1013456529,263.246055868296,264.298960199952,0.999058367974246,1045.18065978105,17321.4541356019
"3",1986,22.75,5888,11.25356,-0.01065981106,35.1624813376334,-0.033307274094593,6116.36264877239,270.320469576035,264.298960199952,1.00546534533709,816.0338927249,16345.123508897
"4",1987,9.5,2153,9.716784,-0.0207363548,21.8753161280308,-0.0466835854942344,2577.66365801459,274.498683197453,264.298960199952,1.01166708940777,1.27650692914852,10082.4829131771
"5",1988,17.75,5377,7.679289,-0.02989858193,22.0885956521747,-0.085999848010042,4930.74530582767,282.595904341924,264.298960199952,1.01730610505082,423.470346286476,14366.452369446
"6",1989,20,6876,6.953358,-0.03761877398,20.8303989701748,-0.112695775303419,5647.06843113977,288.581460628877,264.298960199952,1.02205760085196,650.561549045251,15572.0074173114
"7",1990,44.75,13095,8.637128,-0.0434530183,32.830513347759,-0.165168896107429,13038.5301715395,298.836807821473,264.298960199952,1.0256483648135,4166.12320899444,26839.3692381616
"8",1991,21,5715,11.4016,-0.0470670067,34.7124270259474,-0.143296557974629,6041.82991177255,295.725317942346,264.298960199952,1.02787264247353,788.954736599491,16223.1371910227
"9",1992,120.5,36704,13.77372,-0.04825546416,65.9988420349368,-0.231223282919821,36526.4320421793,311.794502560006,264.298960199952,1.02860409456623,20016.0313484668,57965.2648399689
"10",1993,14.25,4251,12.53811,-0.04695407874,33.3107103396481,-0.124745572990919,4054.99193198047,292.472521972909,264.298960199952,1.02780313944507,197.063977537328,12841.3519905007
"11",1994,206.5,62178,7.893599,-0.04324323908,42.0752540050288,-0.230499455101683,62530.3042765818,310.537680170354,264.298960199952,1.02551925337734,40168.068343916,89820.9723133248
